session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Political Spectrum (US),Employment Status,First Language,Country of Birth,Student Status,Sex,Current Country of Residence,Nationality
5ddb4a4cf83c9faa15fd173f,5c33d22b6f160f0001349d6b,AWAITING REVIEW,2019-11-25 03:28:16.263000,2019-11-25 03:34:18.563000,362.3,64,270,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5ddb4a7a11d494aa2c45e84b,5b0319e68d753d0001cc75c7,AWAITING REVIEW,2019-11-25 03:29:02.200000,2019-11-25 03:31:54.819000,172.619,46,465,1,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Female,United States,United States
5ddb4acaed7ea4a90e0cc1f3,5c0f1cf4f3027300014b606f,AWAITING REVIEW,2019-11-25 03:30:43.845000,2019-11-25 03:35:33.572000,289.727,37,417,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5ddb4adfad0a61aa38f0a6d8,57b0e0277030f200018c2dfb,AWAITING REVIEW,2019-11-25 03:30:41.979000,2019-11-25 03:31:19.738000,37.759,25,826,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5ddb4be341afe8aa9d195be8,5b94d8fe754b700001f05b72,AWAITING REVIEW,2019-11-25 03:35:03.448000,2019-11-25 03:41:10.995000,367.547,49,110,0,100,,4D8547F3,Conservative,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States Minor Outlying Islands,No,Female,United States,United States
5ddb4bf6f290e7aa0936afd2,5a04869ff2e3460001edad2e,AWAITING REVIEW,2019-11-25 03:35:20.468000,2019-11-25 03:36:28.929000,68.461,28,808,2,100,,4D8547F3,Conservative,Part-Time,English,United States,No,Male,United States,United States
5ddb4c3dac504aaa3993ba12,5da883c13b410d0017c55b0f,AWAITING REVIEW,2019-11-25 03:36:32.878000,2019-11-25 03:41:42.192000,309.314,53,88,1,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Female,United States,United States
5ddb4c86e9a0baa9fcf4a0a1,5d61fff97d06c30017d19760,AWAITING REVIEW,2019-11-25 03:37:42.661000,2019-11-25 03:39:14.382000,91.721,36,81,2,96,,4D8547F3,Conservative,Part-Time,English,United States,Yes,Male,United States,United States
5ddb4cba227497aa40199550,59f8c2605c04960001c81a1c,AWAITING REVIEW,2019-11-25 03:38:37.583000,2019-11-25 03:39:44.020000,66.437,42,467,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5ddb4ce6c5faa2aaf8b9c446,5dbcdf38a39098278b46036c,AWAITING REVIEW,2019-11-25 03:39:22.557000,2019-11-25 03:44:57.017000,334.46,44,46,1,99,,4D8547F3,Conservative,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,No,Female,United States,United States
5ddb4d0d9d9e30ab0ab93712,5d069f2f041328001a7815be,AWAITING REVIEW,2019-11-25 03:40:05.271000,2019-11-25 03:40:58.128000,52.857,76,146,0,100,,4D8547F3,Conservative,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,No,Male,United States,United States
5ddb4d0e4524e7aa4ea78b94,5d9ffd2aa7a84a0017cce730,AWAITING REVIEW,2019-11-25 03:40:01.312000,2019-11-25 03:44:18.126000,256.814,38,33,0,100,,4D8547F3,Conservative,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,No,Female,United States,United States
5ddb4d3a9dac7cab6bb7339d,5bf56b6c8f12ac00018af6e2,AWAITING REVIEW,2019-11-25 03:40:59.566000,2019-11-25 03:48:51.536000,471.97,35,315,2,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Female,United States,United States
5ddb4dc97df219aa43057a85,5d1c364ec2696c0019647629,AWAITING REVIEW,2019-11-25 03:43:07.948000,2019-11-25 03:43:53.908000,45.96,31,220,1,100,,4D8547F3,Conservative,Part-Time,English,United States,No,Male,United States,United States
5ddb4dd0fd5b28a9f275be91,5a2bf84b8e00a00001986707,AWAITING REVIEW,2019-11-25 03:43:22.049000,2019-11-25 03:48:22.884000,300.835,43,251,3,99,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5ddb4de9fd5b28a9f275be92,5c817d90fae0130015ce9bda,AWAITING REVIEW,2019-11-25 03:43:41.354000,2019-11-25 03:50:47.042000,425.688,54,278,4,98,,4D8547F3,Conservative,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,No,Female,United States,United States
5ddb4ec05daaa6aa6f1cfabb,59764fb5435a750001158fd1,AWAITING REVIEW,2019-11-25 03:47:25.231000,2019-11-25 03:53:01.466000,336.235,40,826,2,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Female,United States,United States
5ddb4ec67beb29aa45a5e974,558a979dfdf99b65685efffa,AWAITING REVIEW,2019-11-25 03:48:03.069000,2019-11-25 03:48:52.257000,49.188,34,738,4,100,,4D8547F3,Conservative,Full-Time,English,United States,Yes,Male,United States,United States
5ddb4f34104200ab55507058,5d629004a3b94d0001da498f,AWAITING REVIEW,2019-11-25 03:49:14.103000,2019-11-25 03:51:43.540000,149.437,26,17,1,98,,4D8547F3,Conservative,DATA EXPIRED,English,United States,Yes,Male,Mexico,United States
5ddb4f7b19eecbaabbef147a,5ca8ffbec942ab0016cfe9d2,AWAITING REVIEW,2019-11-25 03:50:22.152000,2019-11-25 03:53:25.230000,183.078,46,365,1,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5ddb4f902e6c77aad8936ad6,5bf322d817a7de0001cf6d50,AWAITING REVIEW,2019-11-25 03:50:51.383000,2019-11-25 03:59:11.772000,500.389,68,345,0,100,,4D8547F3,Conservative,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,No,Female,United States,United States
5ddb4fda86c886ab79915535,559b1e92fdf99b426abb6227,AWAITING REVIEW,2019-11-25 03:52:02.188000,2019-11-25 04:03:11.470000,669.282,39,1014,2,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5ddb4ffe2b033baa996c4141,58c3c835334d5b0001d6374e,AWAITING REVIEW,2019-11-25 03:52:33.627000,2019-11-25 03:55:09.345000,155.718,,220,1,100,,4D8547F3,Conservative,DATA EXPIRED,English,Canada,No,Male,United States,United States
5ddb5062e0b21baadad7edad,5cf5ea4dea7a80000156520e,AWAITING REVIEW,2019-11-25 03:54:12.104000,2019-11-25 03:55:04.551000,52.447,25,218,1,100,,4D8547F3,Conservative,Full-Time,English,United States,Yes,Male,United States,United States
5ddb50bce05cadaa030181af,5c3433ea8464370001892798,AWAITING REVIEW,2019-11-25 03:55:44.808000,2019-11-25 03:57:46.410000,121.602,59,192,0,100,,4D8547F3,Conservative,Other,English,United States,No,Female,United States,United States
5ddb50cfaf16d3ab63a1ea57,5d784465042a20001b307884,AWAITING REVIEW,2019-11-25 03:56:03.084000,2019-11-25 03:59:45.077000,221.993,31,65,0,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Female,United States,United States
5ddb512c7d4595a9a41f6bf9,5d73b97a40e4bc00019e1db8,AWAITING REVIEW,2019-11-25 03:57:34.397000,2019-11-25 03:59:59.636000,145.239,24,167,1,100,,4D8547F3,Conservative,Full-Time,English,United States,No,Female,United States,United States
5ddb5161a4aa26ab18e4ea7f,5abe4f25fa3b4e000173303f,AWAITING REVIEW,2019-11-25 03:58:30.248000,2019-11-25 04:02:20.991000,230.743,53,190,1,100,,4D8547F3,Conservative,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,No,Female,United States,United States
5ddb52ca4b0e0caaa75d0859,58a623e90da7f10001de8553,AWAITING REVIEW,2019-11-25 04:04:45.422000,2019-11-25 04:10:07.450000,322.028,54,662,0,100,,4D8547F3,Conservative,Other,English,United States,No,Female,United States,United States
5ddb52cf194e48aa2696a77a,5a0efb83ab721b0001ef8509,AWAITING REVIEW,2019-11-25 04:04:37.303000,2019-11-25 04:05:48.766000,71.463,65,733,1,100,,4D8547F3,Conservative,Part-Time,English,United States,No,Male,United States,United States
5ddb52ede4bf20aa8b73fcfa,5bf7511b0b616400019c7415,AWAITING REVIEW,2019-11-25 04:05:49.020000,2019-11-25 04:15:34.077000,585.057,43,491,14,94,,4D8547F3,Conservative,Full-Time,English,United States,No,Male,United States,United States
5ddb551201fadfab6914ef28,5d37de63b78497001ad6b44b,AWAITING REVIEW,2019-11-25 04:14:13.162000,2019-11-25 04:15:03.640000,50.478,42,161,0,100,,4D8547F3,Conservative,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,No,Female,United States,United States
