session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Nationality,Employment Status,First Language,Country of Birth,Sex,Political Spectrum (US),Current Country of Residence,Student Status
5dd4db84ad0a614a377758ea,5dc36aef70d51c272b81f072,AWAITING REVIEW,2019-11-20 06:22:03.018000,2019-11-20 06:25:05.819000,182.801,31,12,1,98,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,,No
5dd4db8b070fdc4a7deefa73,5d5defd586ed58000184fe02,AWAITING REVIEW,2019-11-20 06:22:05.362000,2019-11-20 06:24:32.183000,146.821,24,4,0,100,,4D8547F3,United States,Part-Time,English,United States,Male,Conservative,United States,No
5dd4dba5a9ead04b2f1cbc6c,58c376f9efb64f0001358464,AWAITING REVIEW,2019-11-20 06:22:32.532000,2019-11-20 06:27:13.821000,281.289,46,612,10,97,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,Yes
5dd4dba9f01cbe4967dc2632,5d563cb2e1e744001613275b,AWAITING REVIEW,2019-11-20 06:22:35.968000,2019-11-20 06:27:16.811000,280.843,26,77,2,98,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,Yes
5dd4dbb649f6074adf3ec0fe,5dc59df162ec5041c3e8807a,AWAITING REVIEW,2019-11-20 06:22:50.673000,2019-11-20 06:30:57.184000,486.511,29,32,0,100,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,,No
5dd4dbef5686c14a6279295a,5c3388fa01439b0001a0adfe,AWAITING REVIEW,2019-11-20 06:23:48.155000,2019-11-20 06:27:22.715000,214.56,36,351,0,100,,4D8547F3,United States,Full-Time,English,United States,Female,Conservative,United States,No
5dd4dbfd9ca8a34b04439f3b,5db13524e28dd200143e0222,AWAITING REVIEW,2019-11-20 06:24:00.533000,2019-11-20 06:27:45.395000,224.862,28,100,3,98,,4D8547F3,United States,Full-Time,English,United States,Male,Conservative,United States,No
5dd4dc26cc19204a19808d6e,5ce7b20479642d00197682ea,AWAITING REVIEW,2019-11-20 06:25:28.280000,2019-11-20 06:27:16.362000,108.082,43,228,0,100,,4D8547F3,United States,Part-Time,English,United States,Female,Conservative,United States,No
5dd4dc60cb9dd64a39fa12fe,5d3feaeb09e9ed00201d2108,AWAITING REVIEW,2019-11-20 06:25:38.706000,2019-11-20 06:33:24.466000,465.76,50,18,0,100,,4D8547F3,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,Conservative,United States,No
5dd4dc77d3ac2a4a5271f5f5,5996ad5c9845ef00014de423,AWAITING REVIEW,2019-11-20 06:26:03.185000,2019-11-20 06:36:41.729000,638.544,40,374,3,100,,4D8547F3,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,Conservative,United States,No
