session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Sex,Student Status,Employment Status,Country of Birth,First Language,Political Spectrum (US),Nationality,Current Country of Residence
5dd4dc80d690724a4a577bcf,5d63867550d0dd0017805976,AWAITING REVIEW,2019-11-20 06:26:13.124000,2019-11-20 06:32:49.483000,396.359,36,149,0,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4dc85fef7c24a927e87a5,5d773df22fa4bf001a045aa9,AWAITING REVIEW,2019-11-20 06:26:15.993000,2019-11-20 06:27:42.275000,86.282,29,40,0,100,,4D8547F3,Female,No,Other,United States,English,Liberal,United States,United States
5dd4dc8df78cf24a2bb84dee,5aea962d0ef2f20001858c9c,AWAITING REVIEW,2019-11-20 06:29:28.210000,2019-11-20 06:33:20.952000,232.742,36,690,1,100,,4D8547F3,Male,No,Unemployed (and job seeking),United States,English,Liberal,United States,United States
5dd4dc8dade4624a7377607b,5d13d574bc547a00182551b8,AWAITING REVIEW,2019-11-20 06:26:24.629000,2019-11-20 06:28:55.071000,150.442,21,136,2,98,,4D8547F3,Female,Yes,Part-Time,United States,English,Liberal,United States,United States
5dd4dc92da167d4a9ed15eb4,5d047da3cc139a0001d690f5,AWAITING REVIEW,2019-11-20 06:26:28.269000,2019-11-20 06:29:26.982000,178.713,21,42,0,100,,4D8547F3,Female,Yes,Other,United States,English,Liberal,United States,United States
5dd4dca30605eb4aec107dee,5da0d9012a275000127cf814,AWAITING REVIEW,2019-11-20 06:26:46.106000,2019-11-20 06:30:41.931000,235.825,45,61,1,99,,4D8547F3,Male,Yes,Full-Time,United States,Italian,Liberal,United States,Italy
5dd4dcb17aa0d64ad56687d6,5d5e4baff521f100166c5d3a,AWAITING REVIEW,2019-11-20 06:26:57.733000,2019-11-20 06:29:33.333000,155.6,22,148,1,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4dcb8e2dcbd4a933358fc,5d950548d4ff5900180f87b5,AWAITING REVIEW,2019-11-20 06:27:04.217000,2019-11-20 06:32:12.389000,308.172,34,101,0,100,,4D8547F3,Male,No,Full-Time,United States,Spanish,Liberal,United States,United States
5dd4ddeab966de4aca718313,5d48fcc5643eb80001fb43fa,AWAITING REVIEW,2019-11-20 06:32:10.485000,2019-11-20 06:32:53.571000,43.086,26,156,1,100,,4D8547F3,Male,No,Full-Time,United States,English,Liberal,United States,United States
5dd4e3fb5726044ab11aa293,5c3255d77bd5e20001d548d0,AWAITING REVIEW,2019-11-20 06:58:10.734000,2019-11-20 06:59:16.511000,65.777,29,396,2,100,,4D8547F3,Female,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
5dd4e50fa4aa264af6e70d9e,5d1d0270601cd7000172942f,AWAITING REVIEW,2019-11-20 07:02:44.121000,2019-11-20 07:05:24.817000,160.696,24,171,0,100,,4D8547F3,Female,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States,English,Liberal,United States,United States
