session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Student Status,Sex,Country of Birth,Nationality,First Language,Political Spectrum (US),Employment Status,Current Country of Residence
5dde0f76355822d7445ea233,59349d79f1b3f00001964d04,AWAITING REVIEW,2019-11-27 05:53:58.223000,2019-11-27 06:08:32.221000,873.998,61,324,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Unemployed (and job seeking),United States
5dde0f779d9e30d6cf3e7d39,5c78d785da78bc0001257542,AWAITING REVIEW,2019-11-27 05:54:02.233000,2019-11-27 05:55:18.065000,75.832,25,280,1,100,,4D8547F3,No,Female,United States,United States,English,Liberal,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States
5dde0f773c4937d87d7c0cbb,5d1c77a9a7f7ce0001dec9aa,AWAITING REVIEW,2019-11-27 05:54:03.575000,2019-11-27 05:56:36.765000,153.19,19,99,0,100,,4D8547F3,Yes,Male,United States,United States,English,Liberal,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States
5dde0f807b6a66d7ef85a975,5d179f82aa676d001a898f11,AWAITING REVIEW,2019-11-27 05:54:11.880000,2019-11-27 05:55:21.983000,70.103,19,32,0,100,,4D8547F3,Yes,Female,United States,United States,English,Liberal,Other,United States
5dde0f87104200d720d32804,5c6c6d2a61fc7d0001459508,AWAITING REVIEW,2019-11-27 05:54:15.667000,2019-11-27 06:03:38.365000,562.698,31,273,3,99,,4D8547F3,Yes,Male,United States,United States,English,Liberal,Part-Time,Germany
5dde0f8be08a36d6dc88813f,58cc6e1293dac30001d4abc6,AWAITING REVIEW,2019-11-27 05:54:29.199000,2019-11-27 05:55:10.704000,41.505,49,862,1,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Full-Time,United States
5dde0f8df290e7d7000ffa15,5da73f96df2e2b0014217945,AWAITING REVIEW,2019-11-27 05:54:23.852000,2019-11-27 06:06:08.312000,704.46,60,72,1,99,,4D8547F3,No,Male,United States,United States,English,Liberal,Full-Time,United States
5dde0f902c5c10d785c31797,5d380f57a236740015d13f92,AWAITING REVIEW,2019-11-27 05:54:28.960000,2019-11-27 05:56:39.073000,130.113,22,114,0,100,,4D8547F3,No,Female,United States,United States,English,Liberal,Unemployed (and job seeking),United States
5dde0f92dba634d860d5b3f1,59cc6c0246f7210001906b71,AWAITING REVIEW,2019-11-27 05:54:26.193000,2019-11-27 06:03:37.363000,551.17,62,213,0,100,,4D8547F3,No,Male,Sweden,United States,Swedish,Liberal,Part-Time,United States
5dde0f939c84d8d875c123ed,580d5d1f357e890001dd14ce,AWAITING REVIEW,2019-11-27 05:54:27.558000,2019-11-27 05:56:12.636000,105.078,36,824,4,100,,4D8547F3,No,Male,United States,United States,English,Liberal,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States
5dde10cdf3b7c2d6fcdc80cb,5699cf0625d9e9000db0c789,AWAITING REVIEW,2019-11-27 05:59:41.185000,2019-11-27 06:04:00.908000,259.723,56,952,1,100,,4D8547F3,No,Female,United States,United States,English,Liberal,"Not in paid work (e.g. homemaker', 'retired or disabled)",United States
5dde10d7428d61d73ddb51ad,5d8998025e8a740001d6e2f1,AWAITING REVIEW,2019-11-27 05:59:53.474000,2019-11-27 06:04:58.242000,304.768,47,113,0,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Full-Time,United States
5dde10dd7d4595d73a923ef9,576704bffdff7a0001c12890,AWAITING REVIEW,2019-11-27 05:59:57.672000,2019-11-27 06:00:38.408000,40.736,37,561,2,100,,4D8547F3,No,Male,United States,United States,English,Liberal,Full-Time,United States
