session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Political Spectrum (US),Current Country of Residence,First Language,Country of Birth,Nationality,Student Status,Employment Status,Sex
5dde0dd7e73e61d5f5189f84,5dad39e6062efc00151a5d2f,APPROVED,2019-11-27 05:47:24.622000,2019-11-27 05:48:48.625000,84.003,34,42,0,100,2019-11-27 06:54:30.190000,4D8547F3,Liberal,United States,English,United States,United States,No,Part-Time,Female
5dde0ddd7aa0d6d861315f5d,57272517e386b9000e3e2b72,APPROVED,2019-11-27 05:47:12.565000,2019-11-27 05:49:10.057000,117.492,47,466,1,100,2019-11-27 06:54:31.072000,4D8547F3,Liberal,United States,English,United States,United States,Yes,Full-Time,Female
5dde0de41b28c0d7c6780a5f,5aa637861eda41000136d5d2,APPROVED,2019-11-27 05:49:18.789000,2019-11-27 05:54:08.671000,289.882,29,54,0,100,2019-11-27 06:54:31.184000,4D8547F3,Liberal,,English,United States,United States,No,Part-Time,Male
5dde0de4caee3ed6bee34506,5d4916dd20a7c00016ab9d19,APPROVED,2019-11-27 05:47:16.936000,2019-11-27 05:49:32.654000,135.718,24,158,0,100,2019-11-27 06:54:31.913000,4D8547F3,Liberal,United States,Burmese,United States,United States,No,Full-Time,Male
5dde0df4ac504ad826a488da,5d5ecd0a97f8b6001aee95ab,APPROVED,2019-11-27 05:47:32.657000,2019-11-27 05:48:06.249000,33.592,19,45,0,100,2019-11-27 06:54:32.057000,4D8547F3,Liberal,United States,English,United States,United States,Yes,Part-Time,Male
5dde0df611d494d75ee2decb,5a8f7e24ae9a0b0001aa4e9c,APPROVED,2019-11-27 05:47:42.898000,2019-11-27 05:51:04.685000,201.787,27,265,0,100,2019-11-27 06:54:32.936000,4D8547F3,Liberal,United States,English,Germany,United States,No,Full-Time,Male
5dde0dff108b67d874e4e872,5cfbe5afd3251300013fee89,APPROVED,2019-11-27 05:47:48.267000,2019-11-27 05:50:37.130000,168.863,43,160,0,100,2019-11-27 06:54:32.949000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Female
5dde0e0f6d5225d7a6ff879c,58cb138127e23a0001b4fb5d,APPROVED,2019-11-27 05:48:05.676000,2019-11-27 05:52:36.795000,271.119,57,348,0,100,2019-11-27 06:54:33.828000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Female
5dde0e141c219bd7b0bb6549,5d0d16d991270800010b7dd7,APPROVED,2019-11-27 05:48:08.096000,2019-11-27 05:49:39.875000,91.779,35,193,1,100,2019-11-27 06:54:33.874000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Male
5dde0e2d41fb3fd80d980bea,5aee513f3606ab0001b92b29,APPROVED,2019-11-27 05:48:29.109000,2019-11-27 05:53:03.118000,274.009,34,466,1,100,2019-11-27 06:54:34.727000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Male
5dde0e307cc973d7921842be,5d66ea7549716000187f26af,APPROVED,2019-11-27 05:50:48.346000,2019-11-27 05:52:16.675000,88.329,23,134,0,100,2019-11-27 06:54:34.824000,4D8547F3,Liberal,United States,English,United States,United States,Yes,Unemployed (and job seeking),Female
5dde0e38428d61d73ddb51aa,5af5262f1b55800001f4a418,APPROVED,2019-11-27 05:48:40.938000,2019-11-27 06:06:56.857000,1095.919,46,637,0,100,2019-11-27 06:54:35.602000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Female
5dde0e3deb3973d6b3774425,5c395df5f5ebd50001850900,APPROVED,2019-11-27 05:49:01.354000,2019-11-27 05:52:20.348000,198.994,24,395,0,100,2019-11-27 06:54:35.692000,4D8547F3,Liberal,United States,Chinese,United States,United States,Yes,Unemployed (and job seeking),Male
5dde0e402e4a05d7e38019b9,5cf961c4e5e7c70015fa7a10,APPROVED,2019-11-27 05:50:26.922000,2019-11-27 05:53:36.355000,189.433,20,133,0,100,2019-11-27 06:54:36.547000,4D8547F3,Liberal,United States,English,United States,United States,Yes,Unemployed (and job seeking),Female
5dde0e41e4bf20d7049ccae6,5c57631a47a04100010da795,APPROVED,2019-11-27 05:48:51.142000,2019-11-27 05:49:55.607000,64.465,31,438,0,100,2019-11-27 06:54:36.656000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Male
5dde0e4b0605ebd96c05db3c,5a444e06817d1800018d11be,APPROVED,2019-11-27 05:49:02.584000,2019-11-27 05:52:14.615000,192.031,29,671,0,100,2019-11-27 06:54:37.491000,4D8547F3,Liberal,United States,English,United States,United States,No,Unemployed (and job seeking),Male
5dde0e502e6c77d8df092711,5dc1ad1d6c809d110518046d,APPROVED,2019-11-27 05:49:25.986000,2019-11-27 05:52:36.933000,190.947,41,68,1,100,2019-11-27 06:54:37.516000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Male
5dde0e5deb3973d7094170e4,5d4a41890e604c00011ade8b,APPROVED,2019-11-27 05:49:17.072000,2019-11-27 05:50:01.247000,44.175,23,216,0,100,2019-11-27 06:54:38.388000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Male
5dde0e6041fb3fd80d980beb,5658000ca9872d0011e1ba26,APPROVED,2019-11-27 05:49:25.585000,2019-11-27 05:55:08.954000,343.369,30,602,1,100,2019-11-27 06:54:38.562000,4D8547F3,Liberal,United States,English,United States,United States,No,Unemployed (and job seeking),Male
5dde0e66c23e0dd78a5d5005,5d63876854f7a50001c712e7,APPROVED,2019-11-27 05:49:28.302000,2019-11-27 05:53:43.022000,254.72,28,146,0,100,2019-11-27 06:54:39.488000,4D8547F3,Liberal,United States,English,United States,United States,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",Male
5dde0e66ade462d77476dad6,5da956c25a994b001650f1e3,APPROVED,2019-11-27 05:49:28.863000,2019-11-27 05:53:51.946000,263.083,25,77,0,100,2019-11-27 06:54:39.320000,4D8547F3,Liberal,United States,Spanish,Cuba,United States,No,Full-Time,Female
5dde0ee5c0823fd8291260ef,5da841b9d120450011806b5d,APPROVED,2019-11-27 05:51:38.230000,2019-11-27 05:59:18.145000,459.915,39,112,4,96,2019-11-27 06:54:40.205000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Male
5dde0eee9255edd6fd667551,5d58db559fe0f000170f3e8e,APPROVED,2019-11-27 05:51:42.596000,2019-11-27 05:53:59.684000,137.088,26,141,0,100,2019-11-27 06:54:40.381000,4D8547F3,Liberal,United States,English,United States,United States,Yes,Full-Time,Female
5dde0ef1227497d8aafbec4b,5dc1b63a4b54771170720f18,APPROVED,2019-11-27 05:51:52.805000,2019-11-27 05:56:20.507000,267.702,26,56,1,100,2019-11-27 06:54:41.087000,4D8547F3,Liberal,,English,United States,United States,Yes,,Male
5dde0ef55daaa6d74a269ef1,5ad79dd33ba33e0001c8c9ec,APPROVED,2019-11-27 05:51:53.298000,2019-11-27 06:01:34.299000,581.001,36,601,0,100,2019-11-27 06:54:41.271000,4D8547F3,Liberal,United States,English,United States,United States,No,Full-Time,Male
5dde0f0e80123fd8344bcb89,5ace650a436f550001004f87,APPROVED,2019-11-27 05:52:14.281000,2019-11-27 05:55:11.330000,177.049,27,215,3,99,2019-11-27 06:54:42.078000,4D8547F3,Liberal,United States,English,United States,United States,No,"Not in paid work (e.g. homemaker, retired or disabled)",Female
5dde0f1dcf08aad7499e400a,5d3752d6cec4c6000189e1ec,APPROVED,2019-11-27 05:52:29.878000,2019-11-27 05:53:29.712000,59.834,36,139,0,100,2019-11-27 06:54:42.173000,4D8547F3,Liberal,United States,English,Bangladesh,United States,No,Unemployed (and job seeking),Female
